0.98 0.00536721 -0.0197232 0.00667004 1.24274
0.99 0.00535802 -0.0195624 0.00660456 1.23265
1.0 0.00534748 -0.0194018 0.00653962 1.22293
1.01 0.00533565 -0.0192415 0.00647522 1.21358
1.02 0.00532258 -0.0190816 0.00641134 1.20456
1.03 0.00530834 -0.0189222 0.006348 1.19586
1.04 0.00529297 -0.0187632 0.0062852 1.18746
1.05 0.00527654 -0.0186046 0.00622292 1.17936
1.06 0.00525909 -0.0184466 0.00616116 1.17153
1.07 0.00524068 -0.0182891 0.00609994 1.16396
1.08 0.00522135 -0.0181321 0.00603924 1.15664
1.09 0.00520114 -0.0179758 0.00597906 1.14957
1.1 0.00518011 -0.0178201 0.0059194 1.14272
1.11 0.00515829 -0.017665 0.00586026 1.13609
1.12 0.00513572 -0.0175106 0.00580163 1.12966
1.13 0.00511244 -0.0173569 0.00574352 1.12344
1.14 0.00508849 -0.0172039 0.00568592 1.11741
1.15 0.00506391 -0.0170516 0.00562882 1.11156
1.16 0.00503872 -0.0169 0.00557224 1.10588
1.17 0.00501297 -0.0167492 0.00551616 1.10038
1.18 0.00498669 -0.0165992 0.00546058 1.09503
1.19 0.0049599 -0.01645 0.00540549 1.08984
1.2 0.00493263 -0.0163017 0.00535091 1.0848
1.21 0.00490492 -0.0161541 0.00529682 1.0799
1.22 0.00487679 -0.0160074 0.00524321 1.07514
1.23 0.00484827 -0.0158615 0.0051901 1.07051
1.24 0.00481938 -0.0157165 0.00513747 1.066
1.25 0.00479015 -0.0155723 0.00508532 1.06162
1.26 0.00476059 -0.0154291 0.00503365 1.05736
1.27 0.00473075 -0.0152867 0.00498246 1.05321
1.28 0.00470062 -0.0151452 0.00493174 1.04917
1.29 0.00467024 -0.0150047 0.00488149 1.04523
1.3 0.00463963 -0.014865 0.00483171 1.0414
1.31 0.0046088 -0.0147263 0.00478239 1.03766
1.32 0.00457777 -0.0145885 0.00473353 1.03402
1.33 0.00454657 -0.0144516 0.00468513 1.03048
1.34 0.0045152 -0.0143157 0.00463719 1.02702
1.35 0.00448369 -0.0141807 0.00458969 1.02364
